map,v2,Nivoix Olivier
19,23
F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1
1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1
1,0,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,0,1
1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1
1,0,1,0,1,1,F,1,1,1,1,1,F,1,1,0,1,0,1
F,0,0,0,0,F,F,F,F,F,F,F,F,F,0,0,0,0,F
1,0,1,1,0,1,F,1,1,F,1,1,F,1,0,1,1,0,1
1,0,1,1,0,1,F,1,F,F,F,1,F,1,0,1,1,0,1
1,0,0,0,0,1,F,1,1,1,1,1,F,1,0,0,0,0,1
1,F,1,1,0,1,F,F,F,F,F,F,F,1,0,1,1,F,1
1,F,F,1,0,1,F,1,1,1,1,1,F,1,0,1,F,F,1
1,1,F,1,0,0,0,0,0,1,0,0,0,0,0,1,F,1,1
F,F,F,1,0,1,1,1,0,1,0,1,1,1,0,1,F,F,F
1,F,1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,F,1
1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,1
1,0,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1
1,0,1,0,0,0,0,1,0,D,0,1,0,0,0,0,1,0,1
1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
